
 : 1
40 : 2
up : 2
By : 2
if : 2
pc : 2
On : 2
Of : 2
by : 2
do : 2
My : 2
15 : 2
us : 2
VW : 2
go : 2
saw : 3
old : 3
not : 3
(as : 3
rut : 3
I’d : 3


I : 3
far : 3
end : 3
But : 3
big : 3
zen : 3
god : 3
get : 3
set : 3
boy : 3
car : 3
few : 3
pay : 3
fit : 3
all : 3
dev : 3
now : 3
one : 3
low : 3
dry : 3
bad : 3
say : 3
fun : 3
its : 3
head : 4
exam : 4
idea : 4
rate : 4
used : 4
home : 4


Up : 4
last : 4
afar : 4
city : 4
pour : 4
Only : 4
busy : 4
days : 4
keep : 4
safe : 4
said : 4
pace : 4
work : 4


It : 4
rest : 4
Plus : 4
mind : 4
soon : 4
eyes : 4
slow : 4
epic : 4
kick : 4
ways : 4
Well : 4
take : 4
gift : 4
will : 4


My : 4
swim : 4
gave : 4
full : 4
golf : 4
kept : 4
dude : 4
trek : 4
came : 4
hour : 4
kind : 4
was) : 4
good : 4
fact : 4
took : 4
seed : 4
fate : 4
deal : 4
More : 4
have : 4
It’s : 4
read : 4
mere : 4
catch : 5
meant : 5
while : 5
depth : 5
being : 5
cease : 5
never : 5
month : 5
awful : 5
stars : 5
drink : 5
scars : 5
thank : 5
space : 5
those : 5
table : 5
house : 5
fresh : 5
Flash : 5
voice : 5
miles : 5
dived : 5
storm : 5
exams : 5
later : 5
don’t : 5
notes : 5
until : 5
crazy : 5
rough : 5
edges : 5
grown : 5
dense : 5
sound : 5
cross : 5
cheap : 5
light : 5
blind : 5
music : 5
hours : 5
which : 5
(back : 5
still : 5
cool) : 5
birth : 5
lines : 5
smell : 5
found : 5
reach : 5
price : 5
areas : 5
“aha” : 5
focus : 5
going : 5
dress : 5
bored : 5
place : 5
other : 5
seems : 5
aircon : 6
excuse : 6
growth : 6
though : 6
waters : 6
worker : 6
life’s : 6
looked : 6
drinks : 6
barely : 6
making : 6
monday : 6
opaque : 6
Simple : 6
forget : 6
manual : 6
honest : 6
Battle : 6
paying : 6
during : 6
reason : 6
slowly : 6
surely : 6
coming : 6
toward : 6


What : 6
rudder : 6
before : 6
wasn’t : 6
packed : 6
seeing : 6
deeper : 6
future : 6
binary : 6
moving : 6
hooked : 6
bother : 6
sowing : 6
thirst : 6
giving : 6
content : 7
relaxed : 7
resolve : 7
existed : 7
ripping : 7
genesis : 7
purpose : 7
steered : 7
surface : 7
Perhaps : 7
changed : 7
nowhere : 7
unknown : 7
managed : 7
adamant : 7
without : 7
despite : 7
digital : 7
knowing : 7
hottest : 7
heights : 7
goodbye : 7
realise : 7
seeking : 7
lacking : 7
chapter : 7
thought : 7
reading : 7
nodding : 7
spilled : 7
admired : 7
strange : 7
brother : 7
finding : 7
country : 7
endured : 7
legally : 7
supplied : 8
problems : 8
websites : 8
template : 8
believed : 8
whenever : 8
thousand : 8
producer : 8
studying : 8
slugging : 8
awaiting : 8
anything : 8
creative : 8
geniuses : 8
replaced : 8
realised : 8
language : 8
thinking : 8
couldn’t : 8
becoming : 8
requests : 8
frequent : 8
agencies : 8
charging : 8
mangling : 8
business : 8
previous : 8
pressing : 8
purchased : 9
respected : 9
templates : 9
Developer : 9
recording : 9
wondering : 9
countries : 9
horrified : 9
reference : 9


Several : 9
soldiered : 9
victories : 9
alongside : 9
successes : 9
basically : 9
mysteries : 9
encounter : 9
nervously : 9
struggled : 9
company’s : 9
Realising : 9
sometimes : 9
avalanche : 9
different : 9
hindsight : 9
illegally : 9
accelerate : 10
belongings : 10
girlfriend : 10
culminated : 10
inevitable : 10
incredible : 10
challenges : 10
technician : 10
previously : 10
complaints : 10
confidence : 10
experience : 10
colleagues : 10
discovered : 10
definitely : 10
dreadfully : 10
completely : 10
engagement : 10
Programming : 11
customizing : 11
essentially : 11
development : 11
Deciphering : 11
skyrocketed : 11
improvement : 11
centimetres : 11
workstation : 11
comfortable : 11
exhilarating : 12
Actionscript : 12
monumentally : 12
disturbingly : 12
